Cpyrifos 48 EC	İnsektisitler	Sıvı Formülasyonlar	27.01.2000	3715	Chlorpyrifos-Ethyl	480 g/l	Lances Link	
Massban 4 EC	İnsektisitler	Sıvı Formülasyonlar	18.02.2000	3725	Chlorpyrifos-Ethyl	480 g/l	Mass	
Falcon 4 EC	İnsektisitler	Sıvı Formülasyonlar	24.08.2000	3815	Chlorpyrifos-Ethyl	480 g/l	Agro Altın	
Robust 4	İnsektisitler	Sıvı Formülasyonlar	10.10.2000	3840	Chlorpyrifos-Ethyl	480 g/l	Tezcan	
Sulban	İnsektisitler	Sıvı Formülasyonlar	22.12.2000	3890	Chlorpyrifos-Ethyl	480 g/l	Agrikem	
Ferban 4	İnsektisitler	Sıvı  Formülasyonlar	09.01.2001	3895	Chlorpyrifos-Ethyl	480 g/l	Fertil	
Chlorfet 48 EC	İnsektisitler	Sıvı  Formülasyonlar	12.11.2001	4016	Chlorpyrifos-Ethyl	480 g/l	Tarsan	
Pyrical 480 EC	İnsektisitler	Sıvı Formülasyonlar	13.11.2001	4017	Chlorpyrifos-Ethyl	480 g/l	NM Agro	
Alkazar 480	İnsektisitler	Sıvı Formülasyonlar	28.12.2001	4062	Chlorpyrifos-Ethyl	480 g/l	Pulcu	
Bestban 4 EC	İnsektisitler	Sıvı Formülasyonlar	26.03.2002	4100	Chlorpyrifos-Ethyl	480 g/l	AgroBest	
Prifos 48 EC 	İnsektisitler	Sıvı Formülasyonlar	11.10.1996	3016	Chlorpyrifos-Ethyl	480 g/l	Atabay	
Nurelle D 50/500	İnsektisitler	Sıvı Formülaasyonlar	13.04.1995	2810	Chlorpyrifos-Ethyl+Cypermet	500+50 g/l	Dow AgroSciences	
Perfect 550	İnsektisitler	Sıvı Formülasyonlar	03.02.1997	3087	Chlorpyrifos-Ethyl+Cypermet	500+50 g/l	Koruma	
Matador Mix 50/500 EC	İnsektisitler	Sıvı Formülasyonlar	17.06.1997	3185	Chlorpyrifos-Ethyl+Cypermet	500+50 g/l	Doğal	
Arriban 55 EC	İnsektisitler	Sıvı Formülasyonlar	09.07.1998	3441	Chlorpyrifos-Ethyl+Cypermet	500+50 g/l	Hektaş	
Direct 50/500 EC	İnsektisitler	Sıvı Formülasyonlar	19.09.2000	3826	Chlorpyrifos-Ethyl+Cypermet	500+50 g/l	Agro-San	
